,date,open,high,low,close,volume,open_i+1,close_i+1,return_i+1,open_i-1,high_i-1,low_i-1,close_i-1,volume_i-1,open/open_i-1,high/high_i-1,low/low_i-1,close/close_i-1,volume/volume_i-1,open_i-2,high_i-2,low_i-2,close_i-2,volume_i-2,open_i-1/open_i-2,high_i-1/high_i-2,low_i-1/low_i-2,close_i-1/close_i-2,volume_i-1/volume_i-2
5679,2021-07-20 00:00:00-04:00,125.31977958368624,127.15521451055356,125.31977958368624,126.43871307373048,15053700,126.94908063344076,126.64481353759766,-0.6039847454575732,125.41792527540628,126.01664973696434,123.8965822489836,124.91735076904295,19460400.0,0.999217450842816,1.009035034465412,1.0114869781625013,1.0121789510850285,0.7735555281494728,126.22278161458928,126.70371417610885,125.81053230939531,126.24240112304688,6511000.0,0.9936235255721065,0.9945773930652929,0.984787044253935,0.9895039199015835,2.988849639072339
4022,2014-12-17 00:00:00-05:00,59.19551974597798,60.38048205972207,59.08140784904727,60.23126602172852,17776200,60.94221970473014,61.88141250610352,3.883622669026638,59.56415759751349,60.58234483423122,59.090171459199695,59.125282287597656,14735600.0,0.993811079239524,0.9966679603593835,0.9998516908999244,1.0187057666591954,1.2063438204077201,60.7315757130896,60.74912778130095,59.608055839776085,59.8187141418457,17776200.0,0.980777411060578,0.9972545622766774,0.9913118390915409,0.9884077773286176,0.8289510694074099
4900,2018-06-14 00:00:00-04:00,78.93429874820026,79.23028603218705,78.71231534193542,79.18403625488281,9379800,79.08750955510817,79.33816528320312,0.7986753386881545,78.89733862588096,79.28581150480245,78.67534807501607,78.77709197998047,10379200.0,1.0004684584165071,0.9992996795824933,1.0004698710310642,1.0051657691934828,0.9037112686912286,78.88807400674109,78.88807400674109,78.40710161737098,78.75858306884766,6829200.0,1.0001174400472634,1.0050417950123536,1.0034212010406167,1.000235008178304,1.519826626837697
1635,2005-06-24 00:00:00-04:00,23.334479731396243,23.334479731396243,23.148399353027344,23.148399353027344,358200,23.14839066826277,23.05162811279297,-1.0533848476914445,23.44612060546875,23.468450755225497,23.25259689995088,23.260040283203125,561800.0,0.9952384074128465,0.9942914415090044,0.9955188855949352,0.9952003122601468,0.6375934496262015,23.44612103721937,23.56521233208797,23.394018773174384,23.41634750366211,507300.0,0.9999999815854136,0.9958938805431125,0.9939547849989046,0.9933248675766133,1.107431500098561
4602,2017-04-07 00:00:00-04:00,67.71808446427654,67.9640639480629,67.53587100338589,67.79096984863281,5638200,67.77274207323406,67.66341400146484,-0.4065155583652016,67.57230784141072,67.80006943474221,67.37187652716186,67.67252349853516,5253300.0,1.002157342667768,1.0024187956544577,1.0024341681526105,1.0017502871767479,1.0732682313974073,67.85471639938996,68.25557195578915,67.50851443387641,67.55406951904297,6470100.0,0.9958380408471978,0.9933265152134103,0.9979759900234749,1.001753469188985,0.8119349005424955
4763,2017-11-27 00:00:00-05:00,75.06739856578464,75.26019125672939,75.0031366701435,75.13166046142578,4241400,75.31527364037775,75.68248748779297,1.228673615268166,74.99396853012901,75.0949525191663,74.82872263934269,75.0674057006836,1650600.0,1.0009791458845938,1.0022003973905025,1.0023308433533131,1.0008559608546803,2.5696110505270813,74.92050703221398,75.20509438786762,74.77361871702476,74.8929672241211,4853100.0,1.000980525904389,0.9985354467061331,1.0007369433667035,1.0023291703217003,0.3401125054089139
4560,2017-02-07 00:00:00-05:00,64.94990366380671,65.20407407562571,64.75019636148485,64.96805572509766,11278000,64.62310369003072,64.86819458007812,0.9557402966622719,64.71387508990311,64.90450286865234,64.58678990407029,64.90450286865234,11561600.0,1.0036472637989255,1.0046155689317828,1.002530029091975,1.0009791748435994,0.9754705231109881,64.75926420039464,64.89542888981858,64.45063070161589,64.8318862915039,15104800.0,0.999299110157412,1.0001398246223039,1.0021126124131317,1.001120075032553,0.7654255600868598
4113,2015-04-30 00:00:00-04:00,63.980473010256176,64.29852064787889,63.01750030877945,63.353214263916016,14554400,63.78609364566714,64.21015930175781,1.6753580479231835,64.39569186370194,64.85509692856134,63.83027543025619,64.25434112548828,13661300.0,0.9935520709316299,0.9914181566747865,0.9872666204869378,0.9859756267703007,1.0653744519189243,64.71373150664428,64.9611003233761,63.7860917036052,64.84625244140625,15798400.0,0.995085438043243,0.9983682019810767,1.0006926859048881,0.9908720813673418,0.8647268077780028
5517,2020-11-24 00:00:00-05:00,105.81305650236364,106.3273232534916,105.25027094708275,105.60928344726562,9615900,105.73543529799292,105.2211685180664,-1.2256556014191953,106.09444187740372,106.15266592297338,104.63896658797428,105.2987823486328,7747700.0,0.9973477840114825,1.0016453409718882,1.005842033604131,1.002948762480508,1.2411296255662971,105.57048034667967,106.0653366293144,105.20175519146515,105.57048034667967,7674500.0,1.0049631443278786,1.0008233537594302,0.9946503877005987,0.9974263828566977,1.0095380806567202
1207,2003-10-13 00:00:00-04:00,20.512114385410403,20.62141489605892,20.43924691503426,20.50482749938965,84200,20.55582914188362,20.53396987915039,-0.2679791785946498,20.533972527479992,20.541259412607896,20.42467203022388,20.446531295776367,66200.0,0.9989355132310449,1.0039021698641235,1.0007135921100134,1.0028511537125773,1.2719033232628398,20.672418148528948,20.694277411525963,20.439242021189248,20.497535705566406,170000.0,0.9933028821275653,0.992605781981407,0.9992871560036198,0.9975116808906844,0.38941176470588235
